Genus,MH01-A,MH95HP,MH10-B,MH99-A,MH10-A,ALT01HP,MH49-B,MH24HP,MH24RC,NEG03RC,ALT03HP,ALT03RC,MH53RC,NEG02HP,MH41HP,MH41RC,ALT02HP,ALT02RC,MH63HP,MilliQBA4
Nonomuraea,0,0,2,1,0,0,1,0,0,0,0,1,1,0,0,5,1,0,1,0
Helicobacter,0,5,1,1,1,1,1,0,2,0,0,0,0,0,0,0,1,0,0,0
Candidatus Contubernalis,0,1,0,3,0,2,1,0,0,0,2,0,0,0,0,0,0,0,1,2
Candidatus Regiella,5,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0
Agrococcus,0,0,0,0,0,0,1,0,0,0,0,1,3,0,0,6,0,0,1,0
Thioalkalimicrobium,2,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0
Pigmentiphaga,0,0,0,7,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0
Acidisphaera,0,0,0,4,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0
Mitsuaria,8,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Amphritea,0,0,0,0,0,0,2,0,0,9,0,0,0,0,0,0,0,0,0,0
Ferrimonas,0,0,1,2,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0
Fimbriimonas,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
Bergeyella,0,0,0,0,0,1,9,0,1,0,0,0,0,0,0,0,0,0,0,0
Anaeromusa,0,1,0,2,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,3
Kytococcus,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,1,0,0
Catellatospora,0,0,0,0,2,0,3,2,0,0,0,0,0,0,0,0,2,0,1,1
Balneimonas,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,0,0,0,0
Laceyella,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
Brachyspira,0,0,0,0,0,0,0,0,0,1,0,0,1,6,0,0,0,0,0,2
Hylemonella,0,0,0,0,0,0,8,0,0,0,0,0,0,0,2,0,0,0,0,0
Asticcacaulis,1,0,1,1,0,0,1,0,0,2,0,0,1,1,1,0,0,0,0,1
Pseudidiomarina,0,0,0,2,0,0,0,0,0,1,0,0,0,3,0,3,0,1,0,0
Anaerobacillus,0,0,0,0,0,0,0,1,0,0,1,1,2,0,0,1,1,0,0,2
Nevskia,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0
Candidatus Amoebophilus,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,1
Listeria,0,0,0,1,1,0,1,0,0,3,1,0,1,0,0,1,0,0,0,0
Oscillochloris,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lentibacillus,0,0,1,1,0,0,0,0,0,0,2,0,1,0,1,0,1,0,1,1
Halanaerobacter,0,1,0,0,1,0,0,0,0,1,0,0,3,0,0,0,0,0,1,2
Viridibacillus,0,0,1,0,1,2,2,0,1,0,1,0,0,0,0,0,1,0,0,0
Euzebya,0,0,0,3,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,2
Cellulosimicrobium,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oligella,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
Fervidobacterium,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,2
Skermanella,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Deferribacter,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,2
Corallococcus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
Moritella,0,0,3,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Rubritalea,0,1,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,3
Haliangium,2,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
Frigoribacterium,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0
